name distance moving_time start_date location_country average_heartrate average_speed 
南航健身房 2.00 18:22 2020-01-13 16:02:00 江苏南京 157 09-08
南航健身房 3.20 36:41 2020-01-15 16:36:00 江苏南京 142 11-27
赣榆新城夜跑 3.69 35:54 2020-03-21 19:14:00 江苏连云港 152 09-43
赣榆体育馆黄昏跑步 3.51 37:29 2020-03-23 15:09:00 江苏连云港 152 10-39
赣榆体育馆黄昏跑步 2.13 14:48 2020-04-06 14:55:00 江苏连云港 163 07-52
赣榆体育馆黄昏跑步 6.75 79:31 2020-04-07 15:03:00 江苏连云港 135 11-46
赣榆体育馆黄昏跑步 3.73 34:33 2020-04-13 15:00:00 江苏连云港 null 09-15
赣榆体育馆黄昏跑步 6.07 53:45 2020-04-15 15:26:00 江苏连云港 147 08-51
赣榆体育馆黄昏跑步 1.32 10:49 2020-04-16 15:58:00 江苏连云港 147 08-07
赣榆体育馆黄昏跑步 3.36 33:28 2020-04-17 16:47:00 江苏连云港 150 09-57
赣榆体育馆黄昏跑步 3.28 31:13 2020-04-21 16:22:00 江苏连云港 152 09-30
赣榆体育馆黄昏跑步 4.31 35:12 2020-04-22 15:32:00 江苏连云港 127 08-09
赣榆体育馆夜跑 2.83 25:54 2020-05-01 19:17:00 江苏连云港 152 09-08
赣榆体育馆黄昏跑步 3.58 30:56 2020-05-02 17:45:00 江苏连云港 144 08-36
赣榆体育馆黄昏跑步 1.80 16:46 2020-05-03 17:17:00 江苏连云港 142 09-18
赣榆体育馆黄昏跑步 2.83 27:26 2020-05-07 15:51:00 江苏连云港 141 09-40
赣榆体育馆黄昏跑步 3.30 26:08 2020-05-09 16:43:00 江苏连云港 147 07-54
赣榆体育馆黄昏跑步 2.97 27:18 2020-05-10 17:25:00 江苏连云港 152 09-11
赣榆体育馆黄昏跑步 3.50 32:24 2020-05-12 17:54:00 江苏连云港 null 09-14
赣榆体育馆黄昏跑步 2.39 23:15 2020-05-14 16:50:00 江苏连云港 140 09-42
南京将军路跑步机 1.89 25:39 2020-06-03 19:32:00 江苏南京 140 13-31
南京将军路跑步机 1.64 16:53 2020-06-07 15:30:00 江苏南京 149 10-15
南京将军路跑步机 1.56 18:54 2020-06-08 19:41:00 江苏南京 144 12-04
南京将军路跑步机 1.49 17:17 2020-06-13 15:09:00 江苏南京 142 11-34
南京将军路跑步机 1.70 14:06 2020-06-14 15:39:00 江苏南京 146 08-17
南京将军路跑步机 1.53 34:52 2020-06-15 20:22:00 江苏南京 137 22-45
南京将军路跑步机 1.75 23:40 2020-06-21 15:23:00 江苏南京 134 13-29
南京将军路跑步机 2.52 17:31 2020-06-22 20:18:00 江苏南京 153 06-57
南京将军路跑步机 1.92 17:40 2020-06-24 20:46:00 江苏南京 149 09-11
南京将军路跑步机 1.33 15:28 2020-06-29 19:32:00 江苏南京 144 11-36
