DT,distance(Km),heart,pace,start_lat,start_lng
2020-11-08 19:11:06,6.97,120,8:38,31.754101,116.50058
2020-11-10 19:41:41,3.76,120,8:38,31.748708,116.501235
2020-11-12 19:50:52,2.39,120,6:33,31.741446,116.505836
2020-11-16 19:42:59,2.61,120,6:22,31.742465,116.504239
2020-11-23 14:08:57,2.08,120,5:15,31.853769,118.797252
2020-11-28 19:30:57,2.44,120,6:52,28.585598,104.926889
2020-12-09 18:53:04,1.64,120,6:24,39.053956,121.782527
2020-12-10 19:20:03,3.90,120,5:24,39.054013,121.781456
2020-12-14 19:53:29,2.31,120,7:00,39.054311,121.782185
2020-12-21 20:46:48,2.52,120,6:59,31.85293,118.79743
2020-12-24 19:56:39,1.17,120,6:07,31.853051,118.797418
2020-12-26 14:13:30,0.26,120,1:21,31.853762,118.797794
2021-01-04 20:21:31,1.37,120,7:27,31.852655,118.797324
2021-01-10 20:02:52,1.89,120,6:50,23.139097,113.319348
2021-01-16 20:05:26,1.95,120,7:25,23.140946,113.32067
2021-01-17 19:40:05,2.31,120,6:28,23.142174,113.319336
2021-01-23 19:46:43,3.06,120,7:07,23.139198,113.319628
2021-01-31 19:43:30,2.95,120,7:08,23.140837,113.320717
2021-02-03 19:42:53,2.78,120,7:03,23.140821,113.320825
2021-02-19 14:37:36,3.83,120,7:23,34.8335,119.167035
2021-02-27 15:10:06,3.04,120,7:41,39.03738,121.758518
2021-03-07 14:59:05,2.22,120,7:58,39.036638,121.758041
2021-03-11 19:38:29,2.34,120,8:24,39.054562,121.781939
2021-03-13 15:11:07,1.82,120,6:54,39.037729,121.756012
2021-04-05 19:22:38,3.92,120,8:27,31.904899,118.805342
2021-04-08 21:37:58,3.80,120,9:19,31.904878,118.805282
2021-04-20 18:56:08,3.81,120,8:43,31.904907,118.8057
2021-04-27 19:11:13,3.80,120,8:09,31.904972,118.805685
2021-05-02 19:15:38,4.10,120,8:34,31.904917,118.805208
2021-05-04 18:45:46,3.66,120,7:15,31.904923,118.805665
2021-05-18 18:22:03,3.70,120,8:06,,
2021-05-25 17:30:00,3.52,120,8:27,,
2021-05-30 19:00:00,3.64,120,8:08,,
2021-06-04 18:12:26,3.70,120,6:15,31.904946,118.805607
2021-06-06 19:08:35,3.49,120,5:51,31.904952,118.805735
2021-06-12 19:29:26,1.89,120,4:40,31.897758,118.807346
2021-06-13 15:30:00,5.00,120,12:00,,
2021-06-19 13:49:38,2.00,120,7:30,,
2021-06-20 19:16:52,3.73,120,6:53,31.905251,118.805966
2021-06-27 14:00:00,2.00,120,7:30,,
2021-07-03 14:00:00,2.00,120,7:30,,
2021-07-05 19:14:59,4.96,120,6:32,31.904922,118.805731
2021-07-11 15:31:09,2.40,120,8:46,,
2021-07-14 19:30:00,2.50,120,7:12,,
2021-07-17 14:06:08,3.00,120,7:40,,
2021-07-22 19:20:00,3.00,120,7:00,,
2021-07-31 19:20:00,8.00,120,7:00,,
2021-08-04 19:32:08,3.56,120,4:59,31.90745,118.807739
2021-08-08 19:31:20,3.09,120,5:46,31.907624,118.808181
2021-08-14 19:05:07,3.60,120,7:30,,
2021-08-19 19:32:09,3.54,120,6:16,31.90496,118.805911
2021-08-22 19:18:45,3.80,120,9:53,,
2021-08-25 19:12:26,3.36,120,4:37,31.904873,118.80549
